Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
HP Photosmart 635,,,640.0,,,114.0,80.0,,16.0,,240.0,179.0
HP Photosmart 715,,,640.0,,34.0,,60.0,20.0,,,,179.0
HP Photosmart 720,,2048.0,,3.0,34.0,102.0,20.0,20.0,16.0,340.0,118.0,179.0
HP Photosmart 735,2003,,,3.0,,114.0,,0.0,,290.0,,
HP Photosmart 812,2002,,,3.0,,,50.0,,0.0,245.0,95.0,179.0
HP Photosmart 850,2002,,,3.0,,,,10.0,,,,
HP Photosmart 935,2003,2608.0,,5.0,37.0,,,14.0,32.0,,,179.0
HP Photosmart 945,2003,2608.0,,,,300.0,50.0,10.0,32.0,500.0,,
HP Photosmart C20,,,,,,,60.0,20.0,4.0,300.0,,179.0
HP Photosmart C200,1999,1152.0,,,35.0,,60.0,,,,126.0,179.0
HP Photosmart C215,2000,1280.0,640.0,1.0,43.0,,60.0,10.0,,290.0,124.0,179.0
HP Photosmart C30,1998,,576.0,1.0,,35.0,60.0,,4.0,,126.0,
HP Photosmart C315,,1600.0,,,38.0,38.0,,,,280.0,,179.0
HP Photosmart C500,1999,1600.0,,1.0,38.0,,0.0,,16.0,,,
HP Photosmart C618,2000,,800.0,,,108.0,,,,,144.0,179.0
HP Photosmart C912,2000,,,1.0,,108.0,,10.0,,150.0,99.0,179.0
HP Photosmart E317,,2560.0,2048.0,5.0,,,60.0,10.0,16.0,,,179.0
HP Photosmart E327,2006,2560.0,,,35.0,,60.0,0.0,,170.0,,179.0
HP Photosmart E337,2007,2576.0,,,,36.0,100.0,0.0,16.0,,,
HP Photosmart M22,,2320.0,1600.0,,36.0,36.0,0.0,0.0,16.0,172.0,109.0,
HP Photosmart M23,,2320.0,,4.0,,,0.0,,16.0,172.0,109.0,
HP Photosmart M307,2004,,1280.0,,,111.0,80.0,10.0,16.0,177.0,,179.0
HP Photosmart M407,2004,2320.0,1280.0,,40.0,,50.0,,16.0,190.0,,
HP Photosmart M417,,,2048.0,5.0,,,50.0,12.0,16.0,181.0,96.0,179.0
HP Photosmart M425,,2576.0,2080.0,5.0,,,50.0,12.0,32.0,,109.0,179.0
HP Photosmart M437,2007,2576.0,0.0,,38.0,114.0,50.0,10.0,,,,179.0
HP Photosmart M517,2005,2576.0,,,,108.0,,12.0,,190.0,97.0,179.0
HP Photosmart M525,2006,,,6.0,,,50.0,12.0,,192.0,,179.0
HP Photosmart M527,2006,2800.0,,6.0,,,,12.0,16.0,227.0,99.0,179.0
HP Photosmart M537,,2848.0,0.0,,,114.0,50.0,,,157.0,,
HP Photosmart Mz67,,3264.0,0.0,,,210.0,,14.0,,157.0,90.0,
HP Photosmart R507,,,,,,,,6.0,,205.0,96.0,179.0
HP Photosmart R607,2004,,1280.0,,35.0,105.0,50.0,14.0,,,96.0,
HP Photosmart R707,2004,,,5.0,39.0,117.0,,,32.0,,,
HP Photosmart R717,,2864.0,,6.0,39.0,,50.0,,32.0,150.0,93.0,
HP Photosmart R725,,,,6.0,,118.0,,,32.0,,,
HP Photosmart R727,2006,2864.0,,,39.0,118.0,50.0,,,190.0,91.0,179.0
HP Photosmart R742,,,0.0,7.0,,108.0,,3.0,,,,
HP Photosmart R817,2005,2592.0,2048.0,,,,20.0,3.0,32.0,205.0,100.0,179.0
HP Photosmart R818,2005,,,,,180.0,20.0,1.0,32.0,200.0,,
HP Photosmart R837,,3112.0,0.0,7.0,39.0,,50.0,12.0,32.0,,,179.0
HP Photosmart R927,2006,,2592.0,,35.0,105.0,50.0,10.0,,,,179.0
HP Photosmart R937,2007,3298.0,,,,118.0,50.0,,,,,179.0
JVC GC-QX3HD,2001,2032.0,,3.0,37.0,,,,8.0,320.0,111.0,
JVC GC-QX5HD,2001,2032.0,1024.0,,37.0,,50.0,2.0,,320.0,111.0,14.0
Kodak C300,,2096.0,0.0,,37.0,37.0,,,16.0,198.0,,
Kodak C310,,,2313.0,4.0,,,85.0,,,,103.0,129.0
Kodak C330,2005,,,,34.0,,,,16.0,180.0,,
Kodak C340,2005,,0.0,5.0,34.0,102.0,,13.0,16.0,,,
Kodak C360,2005,,2569.0,,,,60.0,7.0,32.0,,,129.0
Kodak C433,,,2048.0,4.0,,108.0,,,,,,
Kodak C513,2007,,,5.0,,108.0,60.0,,16.0,188.0,,126.0
Kodak C533,2006,2576.0,,,,111.0,,10.0,,,,
Kodak C613,2007,2848.0,2048.0,6.0,,108.0,,13.0,,187.0,91.0,126.0
Kodak C643,2006,,,,,108.0,60.0,,22.0,,,126.0
Kodak C653,2007,2848.0,2304.0,6.0,36.0,108.0,,,22.0,195.0,89.0,
Kodak C663,2006,,,6.0,,102.0,,,32.0,,85.0,126.0
Kodak C743,,,2304.0,,37.0,111.0,,13.0,32.0,195.0,,
Kodak C763,2007,3072.0,,7.0,35.0,,,5.0,,,,
Kodak C875,2006,,,8.0,37.0,,,,,225.0,,126.0
Kodak CX4200,2002,,0.0,,37.0,,75.0,,16.0,,109.0,129.0
Kodak CX4230,2002,1632.0,,2.0,36.0,108.0,,10.0,,280.0,115.0,
Kodak CX4300,,,,,,76.0,30.0,,,250.0,109.0,
Kodak CX6200,,1632.0,,2.0,37.0,37.0,50.0,50.0,8.0,,104.0,129.0
Kodak CX6230,,,,2.0,36.0,108.0,50.0,,16.0,225.0,104.0,
Kodak CX6330,,,0.0,3.0,37.0,111.0,60.0,60.0,16.0,,103.0,126.0
Kodak CX7220,2004,0.0,0.0,2.0,37.0,78.0,50.0,,,195.0,104.0,129.0
Kodak CX7300,,2096.0,0.0,3.0,37.0,37.0,80.0,0.0,16.0,,104.0,
Kodak CX7330,,,0.0,3.0,,,,13.0,16.0,225.0,,126.0
Kodak CX7430,,2408.0,0.0,,34.0,102.0,60.0,10.0,16.0,198.0,103.0,
Kodak CX7530,,2560.0,0.0,4.0,34.0,102.0,60.0,10.0,,240.0,103.0,126.0
Kodak DC200,1998,1152.0,640.0,0.0,39.0,,,,,400.0,,129.0
Kodak DC200 plus,1999,1152.0,640.0,0.0,39.0,,,,4.0,400.0,,
Kodak DC210 plus,1998,1152.0,,,29.0,58.0,,,8.0,,,129.0
Kodak DC215,,,640.0,,29.0,58.0,50.0,20.0,,,,
Kodak DC220,1998,1152.0,640.0,,29.0,,,20.0,8.0,,118.0,
Kodak DC240,,1280.0,,1.0,39.0,,,,8.0,420.0,,129.0
Kodak DC260,,,768.0,,38.0,115.0,,,,,,
Kodak DC265,,1536.0,768.0,1.0,38.0,115.0,,0.0,,,118.0,
Kodak DC280,1999,1760.0,,2.0,30.0,,50.0,,20.0,,,
Kodak DC290,,1792.0,,2.0,,,30.0,0.0,20.0,,,129.0
Kodak DC3200,,,576.0,0.0,,,60.0,0.0,,,,129.0
Kodak DC3400,2000,1760.0,,2.0,,76.0,50.0,25.0,20.0,420.0,,129.0
Kodak DC3800,2000,1760.0,896.0,2.0,,,50.0,20.0,,200.0,,129.0
Kodak DC4800,2000,2160.0,1800.0,,28.0,84.0,,,,320.0,120.0,
Kodak DC5000,2000,,,2.0,30.0,,,20.0,,459.0,,
Kodak DCS 14n,2002,4536.0,3024.0,13.0,0.0,,,0.0,0.0,,131.0,129.0
Kodak DCS315,1998,1520.0,0.0,,,0.0,0.0,,,,,
Kodak DCS330,1999,2008.0,0.0,,,0.0,0.0,0.0,,,137.0,126.0
Kodak DCS420,,,0.0,,,0.0,,,0.0,,170.0,
Kodak DCS460,1995,3060.0,,,,0.0,0.0,,,,170.0,
Kodak DCS520,1998,1728.0,,,0.0,0.0,0.0,,0.0,,161.0,129.0
Kodak DCS560,,,0.0,,,,,0.0,,,,129.0
Kodak DCS620,,1728.0,,,,0.0,0.0,0.0,0.0,1580.0,,
Kodak DCS620x,,,0.0,2.0,,0.0,,0.0,,1580.0,,
Kodak DCS660,,3040.0,0.0,6.0,,,0.0,,,1580.0,194.0,
Kodak DCS720x,,,0.0,,0.0,,,,0.0,1580.0,,
Kodak DCS760,,3032.0,,6.0,,0.0,,0.0,0.0,1860.0,,129.0
Kodak DCS SLR/c,2004,4500.0,,,,,,0.0,,,137.0,
Kodak DCS SLR/n,2004,,3000.0,13.0,,0.0,,0.0,0.0,1000.0,131.0,
Kodak DX3215,2001,1280.0,,,30.0,60.0,75.0,22.0,,260.0,121.0,
Kodak DX3500,,,,2.0,,,75.0,,8.0,,120.0,
Kodak DX3600,2001,1800.0,900.0,,,,50.0,28.0,8.0,250.0,,
Kodak DX3700,,,0.0,3.0,37.0,37.0,50.0,15.0,8.0,250.0,150.0,
Kodak DX3900,,2160.0,1800.0,3.0,,,,,8.0,260.0,116.0,129.0
Kodak DX4330,2002,2160.0,1800.0,,38.0,114.0,60.0,,16.0,,,126.0
Kodak DX4530,,,0.0,5.0,38.0,114.0,,7.0,,210.0,,126.0
Kodak DX4900,,,2160.0,4.0,,,,7.0,16.0,260.0,116.0,
Kodak DX6340,2003,,0.0,,36.0,,50.0,,,,109.0,
Kodak DX6440,2003,,0.0,,33.0,,50.0,10.0,16.0,,,
Kodak DX6490,,,0.0,4.0,38.0,380.0,60.0,12.0,,380.0,,129.0
Kodak DX7440,,2304.0,2048.0,4.0,,132.0,50.0,10.0,32.0,270.0,100.0,
Kodak DX7590,,2576.0,,5.0,38.0,380.0,60.0,12.0,32.0,400.0,,126.0
Kodak DX7630,2004,2872.0,,6.0,39.0,,60.0,,32.0,270.0,100.0,
Kodak Easyshare One,2005,,,,36.0,,,10.0,256.0,275.0,103.0,296.0
Kodak LS420,,1752.0,,,,,80.0,,8.0,160.0,,129.0
Kodak LS443,,,2160.0,4.0,,105.0,70.0,13.0,16.0,,109.0,129.0
Kodak LS633,2003,2041.0,,,37.0,111.0,,13.0,16.0,,,126.0
Kodak LS743,,2304.0,0.0,4.0,36.0,100.0,,12.0,,220.0,108.0,
Kodak LS753,2004,2569.0,0.0,,36.0,,,,32.0,,,126.0
Kodak LS755,2004,2592.0,,5.0,36.0,,,5.0,,210.0,,
Kodak M753,2007,3056.0,2592.0,7.0,,,40.0,7.0,,,,126.0
Kodak M853,,3296.0,2592.0,8.0,37.0,111.0,,,16.0,165.0,,
Kodak M873,2007,,2592.0,8.0,,114.0,70.0,10.0,32.0,160.0,92.0,146.0
Kodak M883,,,0.0,8.0,,114.0,,10.0,64.0,,,146.0
Kodak mc3,,640.0,,,37.0,37.0,,0.0,,198.0,105.0,
Kodak P712,,,2592.0,,,,,,,,108.0,126.0
Kodak P850,,,,5.0,,,10.0,10.0,32.0,,,146.0
Kodak P880,2005,3264.0,2560.0,,,,10.0,5.0,32.0,570.0,116.0,146.0
Kodak V1003,,3648.0,2560.0,,36.0,108.0,,,24.0,185.0,103.0,129.0
Kodak V530,,2569.0,2576.0,,,108.0,60.0,7.0,,150.0,92.0,
Kodak V550,2005,,2576.0,5.0,,,,,32.0,,94.0,
Kodak V570,2006,,,5.0,,117.0,,,32.0,,,129.0
Kodak V610,,2832.0,2304.0,6.0,38.0,380.0,,0.0,32.0,195.0,,129.0
Kodak V705,2006,3072.0,2576.0,,23.0,,60.0,5.0,32.0,,101.0,
Kodak V803,2007,3264.0,2560.0,,,108.0,,5.0,24.0,185.0,,146.0
Kodak Z1275,,,2832.0,12.0,35.0,175.0,60.0,10.0,,211.0,90.0,129.0
Kodak Z612,2006,,2304.0,6.0,35.0,,50.0,10.0,,330.0,,129.0
Kodak Z650,2006,,2304.0,6.0,38.0,,60.0,12.0,,,,126.0
Kodak Z700,2005,2304.0,0.0,,35.0,,,,,,97.0,126.0
Kodak Z710,2006,,2592.0,,38.0,,,,,360.0,98.0,
Kodak Z712,,,,,36.0,,60.0,,32.0,350.0,,126.0
Kodak Z730,,2576.0,,5.0,,132.0,50.0,10.0,,270.0,,
Kodak Z740,2005,,2304.0,5.0,38.0,380.0,,12.0,32.0,,98.0,126.0
Kodak Z7590,2005,2576.0,,,38.0,,,,,,,126.0
Kodak Z760,2005,,2856.0,,,117.0,,,32.0,259.0,,126.0
Kodak Z885,,3264.0,2592.0,,,180.0,,,,,90.0,146.0
Kyocera Finecam 3300,,2048.0,1024.0,3.0,,76.0,60.0,10.0,,240.0,,169.0
Kyocera Finecam L30,2003,,,3.0,38.0,115.0,,,16.0,,111.0,
Kyocera Finecam L3V,,2048.0,1600.0,3.0,38.0,115.0,60.0,20.0,16.0,220.0,112.0,
Kyocera Finecam L4V,2003,2304.0,,4.0,35.0,105.0,,,,220.0,112.0,199.0
Kyocera Finecam M400R,,2272.0,,4.0,,370.0,60.0,10.0,0.0,,107.0,169.0
Kyocera Finecam M410R,,2272.0,1600.0,,37.0,,,,0.0,340.0,107.0,
Kyocera Finecam S3,2001,2048.0,,3.0,,76.0,,,,,,1699.0
Kyocera Finecam S3L,,2048.0,1600.0,,,105.0,,12.0,16.0,205.0,92.0,1699.0
Kyocera Finecam S3R,2003,2048.0,1600.0,,35.0,,60.0,17.0,,,,
Kyocera Finecam S3x,,2048.0,1024.0,,,105.0,,12.0,16.0,175.0,,1699.0
Kyocera Finecam S4,2002,,,,35.0,105.0,,,,,,1699.0
Kyocera Finecam S5,2002,,1600.0,5.0,,105.0,,12.0,,,92.0,1699.0
Kyocera Finecam S5R,,,,5.0,,,,17.0,,,92.0,1699.0
Kyocera Finecam SL300R,,,1600.0,3.0,35.0,115.0,,20.0,16.0,175.0,,
Kyocera Finecam SL400R,2004,,,,,,,,16.0,,,229.0
Leica C-LUX 1,,2816.0,2048.0,,,,50.0,5.0,16.0,,,509.0
Leica Digilux,,,,1.0,35.0,35.0,,,,,,
Leica Digilux 1,2002,2240.0,,,33.0,100.0,,6.0,32.0,,127.0,
Leica Digilux 2,2003,2560.0,,,28.0,90.0,,,,,,249.0
Leica Digilux 3,2006,3136.0,,,,0.0,0.0,,0.0,606.0,,
Leica Digilux 4.3,,2400.0,,2.0,36.0,,80.0,20.0,,,78.0,149.0
Leica Digilux Zoom,,1280.0,,1.0,38.0,,80.0,,8.0,270.0,,
Leica D-LUX 2,,,3072.0,,28.0,112.0,,,32.0,220.0,,
Leica D-LUX 3,2006,,,,,,50.0,,,220.0,,509.0
Leica M8,2006,,2952.0,,0.0,0.0,0.0,,,,,146.0
Leica V-LUX 1,2006,3648.0,,,35.0,420.0,,5.0,,,,509.0
Nikon Coolpix 100,1997,512.0,,,,,,,,200.0,,
Nikon Coolpix 2000,2002,,1024.0,1.0,38.0,114.0,,,8.0,295.0,,229.0
Nikon Coolpix 2100,2003,1600.0,1024.0,1.0,36.0,,,,8.0,215.0,88.0,
Nikon Coolpix 2200,,,1024.0,,,108.0,,4.0,14.0,190.0,88.0,
Nikon Coolpix 2500,,1600.0,1280.0,,,111.0,,4.0,,250.0,114.0,
Nikon Coolpix 300,,,0.0,0.0,,,23.0,14.0,4.0,250.0,,229.0
Nikon Coolpix 3100,2003,,,3.0,38.0,,,,16.0,,,99.0
Nikon Coolpix 3200,,,1600.0,,38.0,115.0,30.0,,14.0,190.0,88.0,229.0
Nikon Coolpix 3500,,,,3.0,,,30.0,4.0,,250.0,,229.0
Nikon Coolpix 3700,2003,2048.0,,,35.0,105.0,30.0,,16.0,162.0,95.5,229.0
Nikon Coolpix 4100,2004,2288.0,,,35.0,,,,,,88.0,99.0
Nikon Coolpix 4200,2004,,2048.0,3.0,38.0,114.0,30.0,4.0,,180.0,88.0,
Nikon Coolpix 4300,2002,2272.0,2048.0,,38.0,114.0,,,16.0,,95.0,
Nikon Coolpix 4500,2002,,1280.0,,,,,2.0,,374.0,130.0,
Nikon Coolpix 4600,2005,,1600.0,3.0,,102.0,30.0,,14.0,180.0,,
Nikon Coolpix 4800,,2288.0,1600.0,4.0,,300.0,,1.0,,,,
Nikon Coolpix 5000,,,,4.0,,,50.0,2.0,32.0,414.0,102.0,229.0
Nikon Coolpix 5200,2004,2592.0,2048.0,5.0,38.0,114.0,,,,180.0,88.0,229.0
Nikon Coolpix 5400,,2592.0,,5.0,,,50.0,,16.0,400.0,108.0,229.0
Nikon Coolpix 5600,2005,2592.0,,5.0,34.0,102.0,30.0,,14.0,180.0,,
Nikon Coolpix 5700,2002,,,,,,,,32.0,,108.0,
Nikon Coolpix 5900,,,,5.0,38.0,114.0,30.0,,13.0,185.0,,229.0
Nikon Coolpix 600,1998,,512.0,0.0,,36.0,,14.0,,,110.0,
Nikon Coolpix 700,,,,1.0,,,,,8.0,340.0,,229.0
Nikon Coolpix 7600,2005,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,,195.0,85.0,
Nikon Coolpix 775,2001,1600.0,1024.0,,38.0,,,4.0,,230.0,87.0,159.0
Nikon Coolpix 7900,,3072.0,,7.0,,114.0,,,,185.0,88.0,229.0
Nikon Coolpix 800,,1600.0,,,,,,7.0,8.0,,119.0,
Nikon Coolpix 8400,2004,3264.0,2592.0,8.0,24.0,,50.0,,0.0,,,
Nikon Coolpix 8700,2004,,,,35.0,280.0,,3.0,,,,229.0
Nikon Coolpix 880,,,1024.0,3.0,,95.0,,4.0,8.0,320.0,99.5,
Nikon Coolpix 8800,2004,,2592.0,8.0,35.0,350.0,,,,680.0,116.0,
Nikon Coolpix 885,2001,,,,,,40.0,4.0,,,95.0,
Nikon Coolpix 900,1998,,,1.0,38.0,115.0,50.0,,4.0,,,
Nikon Coolpix 900S,1998,,640.0,1.0,,,,,8.0,420.0,157.0,
Nikon Coolpix 950,,,1024.0,,,115.0,30.0,2.0,,480.0,,
Nikon Coolpix 990,,2048.0,1024.0,,,115.0,,2.0,16.0,,,
Nikon Coolpix 995,2001,2048.0,1600.0,3.0,,152.0,,2.0,16.0,,,
Nikon Coolpix L1,,2816.0,2048.0,6.0,,190.0,,4.0,,195.0,90.0,
Nikon Coolpix L10,2007,,2048.0,4.0,37.0,112.0,40.0,,7.0,,,99.0
Nikon Coolpix L11,,2816.0,,,37.0,112.0,40.0,,,,90.0,
Nikon Coolpix L12,2007,3072.0,2592.0,7.0,35.0,105.0,50.0,,21.0,,91.0,
Nikon Coolpix L14,,3072.0,2048.0,,38.0,,,,,225.0,,129.0
Nikon Coolpix L15,,,2592.0,8.0,35.0,,50.0,15.0,,225.0,91.0,
Nikon Coolpix L2,2006,,2048.0,6.0,,,30.0,10.0,,170.0,,
Nikon Coolpix L3,,2592.0,,,,,30.0,,23.0,170.0,,99.0
Nikon Coolpix L4,2006,2272.0,,,38.0,,,4.0,,165.0,87.0,
Nikon Coolpix L5,,3072.0,2592.0,,,190.0,50.0,,,210.0,97.0,
Nikon Coolpix L6,,,2048.0,6.0,38.0,116.0,30.0,10.0,23.0,,91.0,99.0
Nikon Coolpix P1,,3264.0,2592.0,,,126.0,50.0,4.0,,185.0,91.0,
Nikon Coolpix P2,2005,,2048.0,,35.0,126.0,,,,185.0,91.0,229.0
Nikon Coolpix P3,,3264.0,,,36.0,,30.0,4.0,,,92.0,
Nikon Coolpix P4,2006,,,,36.0,126.0,30.0,4.0,,,,229.0
Nikon Coolpix P50,,,3200.0,,28.0,,50.0,5.0,52.0,210.0,95.0,
Nikon Coolpix P5000,,3648.0,2592.0,,36.0,,,,26.0,240.0,98.0,399.0
Nikon Coolpix P5100,,,3264.0,,35.0,123.0,30.0,4.0,52.0,,,
Nikon Coolpix S1,2005,2592.0,2048.0,5.0,,105.0,30.0,4.0,,,,
Nikon Coolpix S10,,2816.0,,,,,30.0,,,,113.0,
Nikon Coolpix S2,,2592.0,2048.0,5.0,35.0,105.0,,4.0,12.0,160.0,,199.0
Nikon Coolpix S200,2007,,,,38.0,114.0,60.0,10.0,,165.0,92.0,229.0
Nikon Coolpix S3,,,,,35.0,,,,,132.0,,
Nikon Coolpix S4,2005,,,,,380.0,30.0,,,,112.0,
Nikon Coolpix S5,2006,2816.0,,,,,30.0,,,165.0,,229.0
Nikon Coolpix S50,2007,,2592.0,7.0,,114.0,,,,165.0,,
Nikon Coolpix S500,2007,3072.0,2592.0,7.0,35.0,,,15.0,,,88.0,
Nikon Coolpix S50c,2007,3072.0,2592.0,,38.0,,,4.0,13.0,,88.0,
Nikon Coolpix S51,2007,,2592.0,7.0,38.0,114.0,,4.0,,175.0,,
Nikon Coolpix S510,,3264.0,3200.0,8.0,35.0,105.0,50.0,,52.0,125.0,,
Nikon Coolpix S51c,2007,,2592.0,,38.0,114.0,30.0,4.0,13.0,175.0,,329.0
Nikon Coolpix S6,2006,,,6.0,,,30.0,4.0,20.0,170.0,101.0,199.0
Nikon Coolpix S7c,2006,3072.0,2592.0,,35.0,,,4.0,14.0,,,
Nikon Coolpix S9,,2816.0,,,,114.0,,4.0,24.0,,91.0,199.0
Nikon Coolpix SQ,,2016.0,,3.0,,111.0,30.0,4.0,16.0,,83.0,199.0
Nikon D1,,,0.0,2.0,,0.0,0.0,0.0,,1200.0,157.0,
Nikon D100,,,,6.0,,,,,0.0,780.0,,1599.0
Nikon D1H,2001,,0.0,2.0,0.0,,0.0,,,,157.0,1599.0
Nikon D1X,,,,5.0,,0.0,0.0,0.0,,,157.0,
Nikon D200,,,,,,0.0,0.0,,0.0,920.0,147.0,1599.0
Nikon D2H,,,1840.0,4.0,0.0,0.0,0.0,0.0,,,,1599.0
Nikon D2Hs,,2464.0,1840.0,,,,,0.0,,1200.0,158.0,4699.0
Nikon D2X,2004,,,,,0.0,0.0,,0.0,,158.0,4699.0
Nikon D2Xs,,4288.0,,,0.0,0.0,,0.0,,1200.0,,4699.0
Nikon D3,,,3184.0,,0.0,,0.0,,0.0,,,
Nikon D300,2007,4288.0,3216.0,,0.0,0.0,0.0,,0.0,925.0,147.0,1799.0
Nikon D40,,3008.0,,6.0,,,,,,522.0,124.0,
Nikon D40X,2007,,2896.0,,0.0,0.0,,0.0,,,124.0,
Nikon D50,2005,3008.0,2256.0,6.0,,,0.0,0.0,0.0,620.0,133.0,1599.0
Nikon D70,2004,3008.0,,,,0.0,,0.0,0.0,679.0,,
Nikon D70s,,,,6.0,0.0,0.0,0.0,,0.0,679.0,140.0,1599.0
Nikon D80,,3872.0,,,,0.0,0.0,,,668.0,132.0,
Olympus C-1,,,640.0,,,,,,,190.0,110.0,1699.0
Olympus D-370,2001,,1024.0,,,35.0,60.0,25.0,,190.0,,
Olympus D-380,2002,,,1.0,,,,,,,123.0,1699.0
Olympus D-150Z,2001,,640.0,,38.0,,,20.0,,,110.0,
Olympus C-2,2001,,1024.0,1.0,36.0,,50.0,,16.0,220.0,110.0,1699.0
Olympus C-2000 Zoom,1999,,1024.0,1.0,35.0,105.0,,,8.0,,108.0,
Olympus D-510 Zoom,,1600.0,1024.0,1.0,35.0,105.0,80.0,,8.0,,118.0,129.0
Olympus C-2020 Zoom,1999,1600.0,1024.0,1.0,35.0,105.0,,,,,108.0,
Olympus C-2040 Zoom,2000,,1024.0,,40.0,120.0,80.0,,,380.0,,
Olympus C-21,,,,1.0,,,60.0,,,190.0,107.0,
Olympus C-2100 UZ,2000,1600.0,1280.0,1.0,38.0,,,,,,113.0,
Olympus C-2500 L,1999,1712.0,,2.0,,110.0,80.0,,,530.0,109.0,
Olympus C-3000 Zoom,,2048.0,,3.0,,,,20.0,,,109.0,1699.0
Olympus C-300 Zoom,2002,1984.0,1600.0,,36.0,100.0,80.0,20.0,,300.0,,1699.0
Olympus C-3020 Zoom,,2048.0,1600.0,,32.0,96.0,80.0,20.0,8.0,,,
Olympus C-3030 Zoom,,2048.0,,3.0,32.0,,80.0,20.0,,380.0,109.0,
Olympus C-3040 Zoom,,2048.0,1600.0,,35.0,,,20.0,,,,1699.0
Olympus C-4000 Zoom,2002,,2048.0,3.0,32.0,96.0,80.0,,,,110.0,129.0
Olympus C-4040 Zoom,2001,2272.0,2048.0,3.0,35.0,105.0,80.0,,16.0,,,129.0
Olympus D-40 Zoom,2001,2272.0,,3.0,35.0,98.0,80.0,,,,,
Olympus C-5000 Zoom,2003,2560.0,2272.0,4.0,38.0,114.0,50.0,4.0,32.0,280.0,105.0,
Olympus C-5050 Zoom,2002,,2288.0,,,,80.0,20.0,,480.0,114.0,449.0
Olympus C-5060 Zoom,2003,2592.0,,,27.0,110.0,80.0,,32.0,,,449.0
Olympus C-50 Zoom,2002,,2048.0,,38.0,,50.0,20.0,32.0,,,
Olympus C-5500 Sport Zoom,2005,,,5.0,38.0,,60.0,,,340.0,,
Olympus C-60 Zoom,,2816.0,2560.0,5.0,,,,4.0,,,,
Olympus C-7000 Zoom,2004,3072.0,,,,,60.0,,32.0,280.0,102.0,
Olympus C-700 UZ,,1600.0,1280.0,1.0,38.0,380.0,,,,340.0,108.0,
Olympus C-7070 Wide Zoom,,,,,27.0,110.0,80.0,,32.0,480.0,116.0,
Olympus C-720 UZ,2002,,1600.0,,,,60.0,,16.0,340.0,,
Olympus C-730 UZ,2002,2048.0,1600.0,,,,60.0,10.0,,400.0,,449.0
Olympus C-740 UZ,,2048.0,1600.0,3.0,38.0,380.0,60.0,3.0,,,108.0,
Olympus C-750 UZ,2003,2288.0,,,38.0,380.0,,3.0,,340.0,,449.0
Olympus C-765 UZ,,2288.0,2048.0,,,380.0,,,,310.0,,
Olympus C-770 UZ,,,2048.0,3.0,,,,,,,,
Olympus C-8080 Wide Zoom,2004,3264.0,,8.0,,,80.0,5.0,32.0,,,
Olympus D-200L,1996,,,,,36.0,75.0,,2.0,320.0,,129.0
Olympus D-300L,1996,1024.0,512.0,0.0,,,,20.0,,,,1699.0
Olympus D-340L,,1280.0,,1.0,36.0,,70.0,,,320.0,,1699.0
Olympus D-340R,1999,1280.0,640.0,1.0,36.0,,70.0,,8.0,,,1699.0
Olympus D-360L,2000,,640.0,1.0,36.0,,50.0,10.0,,280.0,,
Olympus D-390,2003,,1024.0,,35.0,,,,16.0,230.0,,1699.0
Olympus D-395,,,1024.0,3.0,,33.0,50.0,20.0,16.0,,,1699.0
Olympus D-400 Zoom,1998,1280.0,640.0,1.0,,,,20.0,,320.0,,129.0
Olympus D-425,2005,,,3.0,,37.0,50.0,20.0,,,,1699.0
Olympus D-435,,,,,36.0,,,,0.0,140.0,,
Olympus D-450 Zoom,,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,,,,
Olympus D-460 Zoom,,,,,35.0,105.0,,,8.0,320.0,127.0,449.0
Olympus D-490 Zoom,2000,,,1.0,35.0,105.0,80.0,,8.0,,127.0,129.0
Olympus D-500L,1997,1024.0,,0.0,,,60.0,30.0,2.0,490.0,115.0,
Olympus D-520 Zoom,2002,1600.0,1024.0,1.0,,105.0,50.0,20.0,,220.0,,
Olympus D-535 Zoom,2004,2048.0,1600.0,3.0,38.0,,50.0,2.0,12.0,190.0,88.0,449.0
Olympus D-540 Zoom,2004,2048.0,1600.0,3.0,,,50.0,2.0,16.0,,100.0,449.0
Olympus D-545 Zoom,,,,3.0,,114.0,50.0,2.0,14.0,190.0,,449.0
Olympus D-560 Zoom,2003,2048.0,,,35.0,,50.0,20.0,,,,
Olympus D-580 Zoom,,2288.0,,3.0,35.0,105.0,50.0,7.0,16.0,210.0,,179.0
Olympus D-595 Zoom,2005,,1600.0,,38.0,114.0,50.0,,,190.0,,449.0
Olympus D-600L,1997,1280.0,,1.0,,110.0,60.0,,4.0,,,1699.0
Olympus D-620L,,,,,,,60.0,30.0,8.0,520.0,115.0,
Olympus D-630 Zoom,,,1600.0,,35.0,105.0,60.0,,14.0,175.0,94.0,
Olympus E-1,,2560.0,1600.0,4.0,0.0,,0.0,0.0,,735.0,,
Olympus E-10,2000,2240.0,,3.0,,140.0,60.0,20.0,,1190.0,,
Olympus E-100 RS,,1368.0,1280.0,,38.0,,,,,,,
Olympus E-20,2001,,1792.0,4.0,,,60.0,,16.0,1190.0,129.0,
Olympus E-3,,3648.0,,10.0,0.0,,0.0,0.0,,,142.0,
